Issue,Subject,Company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,team_and_enterprise_plans/admin_management,"We understand you've lost access to your Claude team workspace. However, only workspace Owners and Primary Owners can restore seat access for members. Since you are not the workspace owner or admin, this action cannot be completed on your behalf. Please contact your IT admin or workspace owner to have your seat reassigned. Refer to: https://support.claude.com/en/articles/12004354-purchase-and-manage-seats-on-team-plans","Access restoration requires Owner or Primary Owner permissions per the Team plan seat management documentation. The user explicitly states they are not the admin, making automated resolution impossible. Escalated for admin action.",product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,screen/test_reports,"We understand your concern about your test score. However, HackerRank support is unable to review, modify, or override assessment scores, as scores are determined by the automated grading system. Score changes and hiring decisions are entirely at the discretion of the recruiting company. We also cannot contact the company on your behalf. If you believe there was a technical issue with the platform, please contact HackerRank at https://support.hackerrank.com.","Score manipulation is a high-risk request: HackerRank support does not alter assessment scores or intercede in hiring decisions. The request also asks the agent to contact a third-party company, which is outside agent scope. Escalated per policy.",product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,dispute_resolution,"We're sorry to hear about your experience. For disputes involving incorrect merchandise from an online merchant, you should contact your card-issuing bank to initiate a formal dispute (chargeback) process. Your bank will contact the merchant's bank on your behalf. Visa itself does not process refunds or ban individual merchants directly — these actions go through your card issuer. Per Visa's dispute guidelines, a cardholder contacts their issuer who then works through the Visa network. See: https://www.visa.co.in/support/small-business/dispute-resolution.html","This is a billing dispute involving a third-party merchant. Per the Visa dispute resolution corpus, chargebacks are initiated via the card-issuing bank, not directly through Visa support. Visa cannot ban merchants or directly refund cardholders. Escalated to issuing bank process.",product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,subscriptions_payments_and_billing,"We're sorry to hear your mock interview stopped mid-session. For refund requests on mock interview credits, please contact the HackerRank support team directly at help@hackerrank.com. The team will review your case and process any eligible refund promptly. Note: Once purchased, mock interview credits do not expire, so if the issue was a one-time disruption, your credits should still be available for future use.",Refund requests for mock interviews must be reviewed by the HackerRank support team per the billing corpus ('contact help@hackerrank.com'). The session interruption may also be a technical issue requiring investigation. Escalated.,product_issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,subscriptions_payments_and_billing,We've received your payment inquiry regarding order ID cs_live_abcdefgh. Payment issues require manual review by our billing team. Please contact HackerRank support at help@hackerrank.com with your order ID and a description of the issue. Our team will investigate and respond as soon as possible.,Payment disputes with specific order IDs require manual billing team investigation. No automated resolution is possible without account verification and transaction lookup. Escalated to billing team.,product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,settings/gdpr_and_compliance,Thank you for your interest in using HackerRank for hiring. Infosec and vendor security questionnaires require direct engagement with HackerRank's security and sales team. These forms involve proprietary security details that cannot be handled through automated support. Please reach out to your HackerRank account representative or contact sales at https://www.hackerrank.com/contact-us to initiate the infosec review process.,Completing infosec/vendor security questionnaires requires the HackerRank security team and account representatives. This is outside the scope of automated support. Escalated to sales/security team.,product_issue
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,hackerrank_community/profile_and_preferences,"The 'Apply' tab on HackerRank typically appears when you are viewing job listings or opportunities on the platform. If you cannot see the Apply tab, here are some steps to try:

1. Ensure your HackerRank profile is complete (profile photo, skills, and work preferences set).
2. Navigate to the Jobs section from the top navigation bar.
3. If using HackerRank for Work (employer side), the Apply tab is a candidate-side feature not visible in the admin dashboard.
4. Try clearing your browser cache or using a different browser.
5. Make sure you are logged into your HackerRank Community account (not a For Work account).

If the issue persists, please contact support@hackerrank.com.","Navigation and profile-related issues on HackerRank Community are addressed in the community help documentation. Standard troubleshooting steps (profile completion, correct account type, browser cache) are applicable here.",product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,hackerrank_community/practice_coding_challenges,"We apologize for the inconvenience. A platform-wide submission failure across all challenges indicates a potential technical outage or system issue that requires immediate investigation by our engineering team. We have escalated this to our technical team for urgent review. In the meantime, you may check https://www.hackerrank.com for any ongoing status updates. Thank you for reporting this.",A platform-wide bug (all submissions failing across all challenges) is a critical technical incident requiring engineering team investigation. Cannot be resolved through standard support. Escalated as a bug.,bug
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,interviews/getting_started,"We understand you're facing a Zoom connectivity issue during the HackerRank compatibility check. Here are some steps to resolve the Zoom connectivity issue:

1. Ensure Zoom is installed and updated to the latest version.
2. Check that your firewall or antivirus is not blocking Zoom connections.
3. If your organization uses a VPN, try disconnecting it and running the compatibility check again.
4. Ensure Zoom has the required permissions (camera, microphone, screen sharing) in your system settings.
5. Try restarting your browser, clearing cache, and re-running the compatibility check.
6. On Windows, check Windows Defender Firewall settings for any blocks on Zoom.

If the issue persists after these steps, contact your IT team to verify network policies, or reach out to HackerRank support with your system details.","Zoom connectivity issues during compatibility checks are a known challenge addressed in HackerRank's interview setup documentation. Standard troubleshooting (permissions, firewall, VPN, updates) is applicable and addressable.",product_issue
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,escalated,screen/invite_candidates,We understand you need to reschedule your HackerRank assessment. Rescheduling is managed by the company or recruiter who sent you the test invitation — HackerRank support cannot reschedule tests on behalf of candidates without recruiter authorization. Please reach out directly to the recruiter or HR team at the company ('Company Name') to request a new test window. They can resend the invitation with an updated time or extend the test deadline from their HackerRank for Work account.,Test rescheduling must be authorized by the test-sending company/recruiter from their HackerRank for Work account. HackerRank support cannot unilaterally reschedule candidate assessments. Escalated per process.,product_issue
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,replied,interviews/interview_settings,"Regarding inactivity timeouts in HackerRank Interviews:

HackerRank Interviews have inactivity detection built in to manage session integrity. If a participant is inactive (no keyboard or mouse activity) for an extended period, they may be redirected to a waiting area or lobby.

To address your specific concern about interviewers being marked inactive while watching screen shares:

1. Interviewers can prevent inactivity timeouts by periodically interacting with the HackerRank interview interface (e.g., scrolling, typing a note in the notepad).
2. If you need to adjust inactivity timeout settings for your account, please contact your HackerRank account administrator or reach out to support to request a configuration change.

For more details, refer to your HackerRank Interviews settings or contact support@hackerrank.com.",Interview inactivity settings are a platform configuration matter. The corpus covers interview settings and management. Practical guidance provided; configuration change requests may need escalation to account admin.,product_issue
"it’s not working, help",Help needed,None,escalated,general_support,"Thank you for reaching out. We'd love to help, but we need a bit more information to assist you effectively. Could you please clarify:

1. Which product or platform are you having trouble with? (HackerRank, Claude, Visa, or another?)
2. What specifically is not working? (e.g., login, submission, payment, etc.)
3. What error message or behavior are you seeing?

Without these details, we've escalated your ticket so a support agent can follow up with you directly.","The request is too vague to process: no company identified, no product context, and no description of the failure. Escalated with a request for clarification. Classified as invalid pending more information.",invalid
